"id";"anneesco_cdn";"anneesco_libusage";"mef_stat_4";"libelle_court";"libelle_long";"date_ouverture";"date_fermeture";"indic_autorise_eleve";"indic_autorise_apprenti";"nb_mef_valide_annsco";"nb_mef_valide_annsco_ea";"nb_sectref_valide_annsco";"mefstat4_ordtri";"date_jeu_donnees"
41;10;"2006-2007";"2381";"2NDE PRO";"BAC PRO 3 ANS : 2NDE PRO (OU 1ERE ANNEE)";"1992-09-01 00:00:00";"";"Oui";"Oui";91;0;0;43;"2017-08-25"
42;10;"2006-2007";"2382";"1ERE PRO";"BAC PRO 3 ANS : 1ERE PRO (OU 2EME ANNEE)";"1992-09-01 00:00:00";"";"Oui";"Oui";91;0;0;44;"2017-08-25"
43;10;"2006-2007";"2383";"TLEPRO";"BAC PRO 3 ANS : TERM PRO (OU 3EME ANNEE)";"1992-09-01 00:00:00";"";"Oui";"Oui";91;0;0;45;"2017-08-25"
44;10;"2006-2007";"2391";"MC";"MENTION COMPLEMENTAIRE";"1992-09-01 00:00:00";"";"Oui";"Oui";61;0;0;46;"2017-08-25"
45;10;"2006-2007";"23A1";"CEP";"CEP";"1992-09-01 00:00:00";"";"Oui";"Oui";0;0;0;47;"2017-08-25"
46;10;"2006-2007";"23A1";"CEP";"CEP";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;47;"2017-08-25"
47;10;"2006-2007";"23B1";"BMA 1 AN";"BMA EN 1 AN";"1992-09-01 00:00:00";"";"Oui";"Oui";16;0;0;48;"2017-08-25"
48;10;"2006-2007";"23C1";"1BMA2";"BMA EN 2 ANS : 1ERE ANNEE";"1992-09-01 00:00:00";"";"Oui";"Oui";16;0;0;49;"2017-08-25"
49;10;"2006-2007";"23C2";"2BMA2";"BMA EN 2 ANS : 2EME ANNEE";"1992-09-01 00:00:00";"";"Oui";"Oui";16;0;0;50;"2017-08-25"
50;10;"2006-2007";"23D1";"1BMA3";"BMA EN 3 ANS : 1ERE ANNEE";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;51;"2017-08-25"
51;10;"2006-2007";"23D2";"2BMA3";"BMA EN 3 ANS : 2EME ANNEE";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;52;"2017-08-25"
52;10;"2006-2007";"23D3";"3BMA3";"BMA EN 3 ANS : 3EME ANNEE";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;53;"2017-08-25"
53;10;"2006-2007";"2411";"SES 1";"SES : 1ERE ANNEE";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;54;"2017-08-25"
54;10;"2006-2007";"2412";"SES 2";"SES : 2EME ANNEE";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;55;"2017-08-25"
55;10;"2006-2007";"2413";"SES 3";"SES : 3 EME ANNEE";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;56;"2017-08-25"
56;10;"2006-2007";"2414";"SES 4";"SES : 4EME ANNEE";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;57;"2017-08-25"
57;10;"2006-2007";"2415";"SES 5";"SES : 5EME ANNEE";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;58;"2017-08-25"
58;10;"2006-2007";"2416";"SES 6";"SES : 6EME ANNEE";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;59;"2017-08-25"
59;10;"2006-2007";"2421";"CLAT1";"CLASSE ATELIER : 1ERE ANNEE";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;60;"2017-08-25"
60;10;"2006-2007";"2422";"CLAT2";"CLASSE ATELIER : 2EME ANNEE";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;61;"2017-08-25"
61;10;"2006-2007";"2423";"CLAT3";"CLASSE ATELIER : 3EME ANNEE";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;62;"2017-08-25"
62;10;"2006-2007";"2424";"CLAT4";"CLASSE ATELIER : 4EME ANNEE";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;63;"2017-08-25"
63;10;"2006-2007";"2425";"CLAT5";"CLASSE ATELIER : 5EME ANNEE";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;64;"2017-08-25"
64;10;"2006-2007";"2426";"CLAT6";"CLASSE ATELIER : 6EME ANNEE";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;65;"2017-08-25"
65;10;"2006-2007";"2431";"6E SEGPA";"6EME - SECTION D'ENSGT GENE & PRO ADAPTE";"1997-09-01 00:00:00";"";"Oui";"Oui";1;0;0;66;"2017-08-25"
66;10;"2006-2007";"2432";"5E SEGPA";"5EME - SECTION D'ENSGT GENE & PRO ADAPTE";"1997-09-01 00:00:00";"";"Oui";"Oui";1;0;0;67;"2017-08-25"
67;10;"2006-2007";"2433";"4E SEGPA";"4EME - SECTION D'ENSGT GENE & PRO ADAPTE";"1997-09-01 00:00:00";"";"Oui";"Oui";1;0;0;68;"2017-08-25"
68;10;"2006-2007";"2434";"3E SEGPA";"3EME - SECTION D'ENSGT GENE & PRO ADAPTE";"1997-09-01 00:00:00";"";"Oui";"Oui";58;0;0;69;"2017-08-25"
69;10;"2006-2007";"2435";"SEGPA 1CAP2";"SEGPA CAP EN 2 ANS : 1ERE ANNEE";"1997-09-01 00:00:00";"";"Non";"Non";0;0;0;70;"2017-08-25"
70;10;"2006-2007";"2436";"SEGPA 2CAP2";"SEGPA CAP EN 2 ANS : 2EME ANNEE";"1997-09-01 00:00:00";"";"Non";"Non";0;0;0;71;"2017-08-25"
71;10;"2006-2007";"2511";"1BP2";"BREVET PROFESSIONNEL : 1ERE ANNEE";"1992-09-01 00:00:00";"";"Oui";"Oui";60;0;0;72;"2017-08-25"
72;10;"2006-2007";"2512";"2BP2";"BREVET PROFESSIONNEL : 2EME ANNEE";"1992-09-01 00:00:00";"";"Oui";"Oui";60;0;0;73;"2017-08-25"
73;10;"2006-2007";"3111";"CPGE-1";"CLASSE PREPA.GRANDES ECOLES : 1ERE ANNEE";"1992-09-01 00:00:00";"";"Oui";"Oui";19;1;1;74;"2017-08-25"
74;10;"2006-2007";"3112";"CPGE-2";"CLASSE PREPA.GRANDES ECOLES : 2EME ANNEE";"1992-09-01 00:00:00";"";"Oui";"Oui";27;2;2;75;"2017-08-25"
75;10;"2006-2007";"3211";"BTS 1 AN";"BREVET DE TECHNICIEN SUPERIEUR EN 1 AN";"1992-09-01 00:00:00";"";"Oui";"Oui";140;26;26;76;"2017-08-25"
76;10;"2006-2007";"3221";"1BTS2";"BREVET DE TECH.SUP.EN 2 ANS : 1ERE ANN.";"1992-09-01 00:00:00";"";"Oui";"Oui";134;31;31;77;"2017-08-25"
77;10;"2006-2007";"3222";"2BTS2";"BREVET DE TECH.SUP.EN 2 ANS : 2EME ANN.";"1992-09-01 00:00:00";"";"Oui";"Oui";142;31;31;78;"2017-08-25"
78;10;"2006-2007";"3231";"1BTS3";"BREVET DE TECH.SUP.EN 3 ANS : 1ERE ANN.";"1992-09-01 00:00:00";"";"Oui";"Oui";3;0;0;79;"2017-08-25"
79;10;"2006-2007";"3232";"2BTS3";"BREVET DE TECH.SUP.EN 3 ANS : 2EME ANN.";"1992-09-01 00:00:00";"";"Oui";"Oui";3;0;0;80;"2017-08-25"
80;10;"2006-2007";"3233";"3BTS3";"BREVET DE TECH.SUP.EN 3 ANS : 3EME ANN.";"1992-09-01 00:00:00";"";"Oui";"Oui";4;0;0;81;"2017-08-25"
81;10;"2006-2007";"3241";"DPECF";"DIP.PREPA.ETUDES COMPTABLES & FINANCIER.";"1992-09-01 00:00:00";"";"Oui";"Oui";1;0;0;82;"2017-08-25"
82;10;"2006-2007";"3242";"CL.M.NIV";"CLASSE DE MISE A NIVEAU POUR BTS";"1992-09-01 00:00:00";"";"Oui";"Oui";2;0;0;83;"2017-08-25"
83;10;"2006-2007";"3251";"DMA EN 1 AN";"DIP.METIERS D'ARTS EN 1 AN";"1992-09-01 00:00:00";"";"Oui";"Oui";21;0;0;84;"2017-08-25"
84;10;"2006-2007";"3261";"1DMA2";"DIP.METIERS D'ARTS EN 2 ANS : 1ERE ANNEE";"1992-09-01 00:00:00";"";"Oui";"Oui";21;0;0;85;"2017-08-25"
85;10;"2006-2007";"3262";"2DMA2";"DIP.METIERS D'ARTS EN 2 ANS : 2EME ANNEE";"1992-09-01 00:00:00";"";"Oui";"Oui";21;0;0;86;"2017-08-25"
86;10;"2006-2007";"3281";"DSAA-1";"DIP.SUPERIEUR ARTS APPLIQUES :1ERE ANNEE";"1992-09-01 00:00:00";"";"Oui";"Oui";9;0;0;87;"2017-08-25"
87;10;"2006-2007";"3282";"DSAA-2";"DIP.SUPERIEUR ARTS APPLIQUES :2EME ANNEE";"1992-09-01 00:00:00";"";"Oui";"Oui";9;0;0;88;"2017-08-25"
88;10;"2006-2007";"3291";"DNTS";"DIPLOME NATIONAL DE TECHNO SPECIALISE";"1992-09-01 00:00:00";"";"Oui";"Oui";6;0;0;89;"2017-08-25"
89;10;"2006-2007";"3292";"LICENC";"LICENCE";"2002-09-01 00:00:00";"";"Oui";"Oui";1;0;0;90;"2017-08-25"
90;10;"2006-2007";"32A1";"DCG-1";"DIP DE COMPTA GESTION 1E AN.,  DECF-1";"1998-09-01 00:00:00";"";"Oui";"Oui";1;0;0;91;"2017-08-25"
91;10;"2006-2007";"32A2";"DCG-2";"DIP DE COMPTA GESTION 2E AN.,  DECF-2";"1998-09-01 00:00:00";"";"Oui";"Oui";1;0;0;92;"2017-08-25"
92;10;"2006-2007";"32B1";"DSCG-1";"DIP SUP COMPTA ET GESTION 1E AN., DESCF";"1998-09-01 00:00:00";"";"Oui";"Oui";1;0;0;94;"2017-08-25"
93;10;"2006-2007";"3920";"DEUG";"UNIVERSITE - DEUG";"1997-09-01 00:00:00";"";"Non";"Non";0;0;0;96;"2017-08-25"
94;10;"2006-2007";"3930";"DUT";"UNIVERSITE - DUT";"1997-09-01 00:00:00";"";"Non";"Non";0;0;0;97;"2017-08-25"
95;10;"2006-2007";"3931";"DUT2";"DUT EN 2 ANS";"1999-09-01 00:00:00";"";"Oui";"Oui";68;0;0;98;"2017-08-25"
96;10;"2006-2007";"4111";"CIPPA";"CYCLE D'INSERTION PROF. PAR ALTERNANCE";"1992-09-01 00:00:00";"";"Non";"Non";12;0;0;99;"2017-08-25"
97;10;"2006-2007";"4121";"ITHAQUE";"ITINERAIRE PERSO. D'ACCES A QUALIF.& DIP";"1996-09-01 00:00:00";"";"Non";"Non";1;0;0;100;"2017-08-25"
98;10;"2006-2007";"4131";"SIO";"SESSION D'INFORMATION & D'ORIENTATION";"1996-09-01 00:00:00";"";"Non";"Non";1;0;0;101;"2017-08-25"
119;10;"2006-2007";"4211";"MOREA CAP";"MODULE REPREPA.EXAM.PAR ALTERNANCE : CAP";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;103;"2017-08-25"
99;10;"2006-2007";"4212";"MOREA BEP";"MODULE REPREPA.EXAM.PAR ALTERNANCE : BEP";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;104;"2017-08-25"
120;10;"2006-2007";"4221";"MOREA BT";"MODULE REPREPA.EXAM.PAR ALTERNANCE : BT";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;105;"2017-08-25"
100;10;"2006-2007";"4222";"MOREA BTN";"MODULE REPREPA.EXAM.PAR ALTERNANCE : BTN";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;106;"2017-08-25"
121;10;"2006-2007";"4223";"MOREA BPRO";"MODULE REPREPA.EXAM.PAR ALTERNANCE :BPRO";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;107;"2017-08-25"
101;10;"2006-2007";"4224";"MOREA BMA";"MODULE REPREPA.EXAM.PAR ALTERNANCE : BMA";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;108;"2017-08-25"
122;10;"2006-2007";"4225";"MOBAC GENE";"MOREA BAC GENERAL";"1996-09-01 00:00:00";"";"Non";"Non";0;0;0;109;"2017-08-25"
102;10;"2006-2007";"4231";"MOREA BTS";"MODULE REPREPA.EXAM.PAR ALTERNANCE : BTS";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;110;"2017-08-25"
123;10;"2006-2007";"4232";"MOREA DMA";"MODULE REPREPA.EXAM.PAR ALTERNANCE : DMA";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;111;"2017-08-25"
103;10;"2006-2007";"4311";"FC CAP";"FORMATION COMPLEMENTAIRE POST CAP";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;112;"2017-08-25"
124;10;"2006-2007";"4312";"FC BEP";"FORMATION COMPLEMENTAIRE POST BEP";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;113;"2017-08-25"
104;10;"2006-2007";"4321";"FC BT";"FORMATION COMPLEMENTAIRE POST BT";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;114;"2017-08-25"
125;10;"2006-2007";"4322";"FC BTN";"FORMATION COMPLEMENTAIRE POST BAC TECHNO";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;115;"2017-08-25"
105;10;"2006-2007";"4323";"FC BACPRO";"FORMATION COMPLEMENTAIRE POST BAC PRO";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;116;"2017-08-25"
126;10;"2006-2007";"4324";"FC BMA";"FORMATION COMPLEMENTAIRE POST BMA";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;117;"2017-08-25"
106;10;"2006-2007";"4331";"FC BTS";"FORMATION COMPLEMENTAIRE POST BTS";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;118;"2017-08-25"
127;10;"2006-2007";"4332";"FC DMA";"FORMATION COMPLEMENTAIRE POST DMA";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;119;"2017-08-25"
107;10;"2006-2007";"4411";"FCIL NIV-5";"FCIL & FC NON DIPLOMANTE POST NIVEAU-5";"1994-09-01 00:00:00";"";"Non";"Non";12;0;0;120;"2017-08-25"
128;10;"2006-2007";"4421";"FCIL NIV-4";"FCIL & FC NON DIPLOMANTE POST NIVEAU-4";"1994-09-01 00:00:00";"";"Non";"Non";12;0;0;121;"2017-08-25"
108;10;"2006-2007";"4431";"FCIL NIV-3";"FCIL & FC NON DIPLOMANTE POST NIVEAU-3";"1994-09-01 00:00:00";"";"Non";"Non";12;0;0;122;"2017-08-25"
129;10;"2006-2007";"4441";"FCIL G-T";"FCIL & FC NON DIPLOM.POST GENE. & TECHNO";"1994-09-01 00:00:00";"";"Non";"Non";12;0;0;123;"2017-08-25"
109;10;"2006-2007";"4511";"FORM.INTEG.";"FORMATION INTEGREE";"1994-09-01 00:00:00";"";"Non";"Non";0;0;0;124;"2017-08-25"
130;10;"2006-2007";"4521";"FINTG 1CAP2";"FORMATION INTEGREE CAP 2 ANS : 1E ANNEE";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;125;"2017-08-25"
110;10;"2006-2007";"4522";"FINTG 2CAP2";"FORMATION INTEGREE CAP 2 ANS : 2E ANNEE";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;126;"2017-08-25"
131;10;"2006-2007";"4531";"FINTG 1CAP3";"FORMATION INTEGREE CAP 3 ANS : 1E ANNEE";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;127;"2017-08-25"
111;10;"2006-2007";"4532";"FINTG 2CAP3";"FORMATION INTEGREE CAP 3 ANS : 2E ANNEE";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;128;"2017-08-25"
132;10;"2006-2007";"4533";"FINTG 3CAP3";"FORMATION INTEGREE CAP 3 ANS : 3E ANNEE";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;129;"2017-08-25"
112;10;"2006-2007";"4611";"MODAL NIV-5";"MODULE D'ACTION EN LYCEE NIVEAU 5";"1994-09-01 00:00:00";"";"Non";"Non";12;0;0;130;"2017-08-25"
133;10;"2006-2007";"4621";"MODAL NIV-4";"MODULE D'ACTION EN LYCEE NIVEAU 4";"1992-09-01 00:00:00";"";"Non";"Non";12;0;0;131;"2017-08-25"
113;10;"2006-2007";"4631";"MODAL NIV-3";"MODULE D'ACTION EN LYCEE NIVEAU 3";"1992-09-01 00:00:00";"";"Non";"Non";12;0;0;132;"2017-08-25"
134;10;"2006-2007";"4711";"NCE78 1CAP2";"NCE DECISION 78- CAP EN 2 ANS : 1E ANNEE";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;133;"2017-08-25"
114;10;"2006-2007";"4712";"NCE78 2CAP2";"NCE DECISION 78- CAP EN 2 ANS : 2E ANNEE";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;134;"2017-08-25"
135;10;"2006-2007";"4721";"NCE78 1BEP2";"NCE DECISION 78- BEP EN 2 ANS : 1E ANNEE";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;135;"2017-08-25"
115;10;"2006-2007";"4722";"NCE78 2BEP2";"NCE DECISION 78- BEP EN 2 ANS : 2E ANNEE";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;136;"2017-08-25"
136;10;"2006-2007";"4731";"NCE78 1BPR2";"NCE DECISION 78- BAC PRO 2ANS : 1E ANNEE";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;137;"2017-08-25"
116;10;"2006-2007";"4732";"NCE78 2BPR2";"NCE DECISION 78- BAC PRO 2ANS : 2E ANNEE";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;138;"2017-08-25"
137;10;"2006-2007";"4741";"NCE78 1BMA2";"NCE DECISION 78- BMA EN 2 ANS : 1E ANNEE";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;139;"2017-08-25"
117;10;"2006-2007";"4742";"NCE78 2BMA2";"NCE DECISION 78- BMA EN 2 ANS : 2E ANNEE";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;140;"2017-08-25"
138;10;"2006-2007";"4751";"NCE78 1BTS2";"NCE DECISION 78- BTS EN 2 ANS : 1E ANNEE";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;141;"2017-08-25"
118;10;"2006-2007";"4752";"NCE78 2BTS2";"NCE DECISION 78- BTS EN 2 ANS : 2E ANNEE";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;142;"2017-08-25"
139;10;"2006-2007";"4761";"NCE78 1DMA2";"NCE DECISION 78- DMA EN 2 ANS : 1E ANNEE";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;143;"2017-08-25"
140;10;"2006-2007";"4762";"NCE78 2DMA2";"NCE DECISION 78- DMA EN 2 ANS : 2E ANNEE";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;144;"2017-08-25"
141;10;"2006-2007";"5111";"PDPREBAC1";"PREPA.DIVERSE PRE-BAC  : 1ERE ANNEE";"1992-09-01 00:00:00";"";"Oui";"Oui";16;0;0;145;"2017-08-25"
142;10;"2006-2007";"5112";"PDPREBAC2";"PREPA.DIVERSE PRE-BAC  : 2EME ANNEE";"2000-09-01 00:00:00";"";"Oui";"Oui";2;0;0;146;"2017-08-25"
143;10;"2006-2007";"5211";"PDPOSTBAC1";"PREPA.DIVERSE POST-BAC : 1ERE ANNEE";"1992-09-01 00:00:00";"";"Oui";"Oui";17;1;3;147;"2017-08-25"
144;10;"2006-2007";"5212";"PDPOSTBAC2";"PREPA.DIVERSE POST-BAC : 2EME ANNEE";"1992-09-01 00:00:00";"";"Oui";"Oui";2;0;0;148;"2017-08-25"
145;10;"2006-2007";"5213";"PDPOSTBAC3";"PREPA.DIVERSE POST-BAC : 3EME ANNEE";"1992-09-01 00:00:00";"";"Oui";"Oui";2;0;0;149;"2017-08-25"
146;10;"2006-2007";"6111";"CAP1-A";"CAP1 STATUT APPRENTI";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;150;"2017-08-25"
147;10;"2006-2007";"6112";"CAP1-Q";"CAP1 CONTRAT DE QUALIF.";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;151;"2017-08-25"
148;10;"2006-2007";"6121";"BEP1-A";"BEP1 STATUT APPRENTI";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;152;"2017-08-25"
149;10;"2006-2007";"6122";"BEP1-Q";"BEP1 CONTRAT DE QUALIF.";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;153;"2017-08-25"
150;10;"2006-2007";"6131";"BPR1-A";"BPR1 STATUT APPRENTI";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;154;"2017-08-25"
151;10;"2006-2007";"6132";"BPR1-Q";"BPR1 CONTRAT DE QUALIF.";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;155;"2017-08-25"
152;10;"2006-2007";"6141";"BTS1-A";"BTS1 STATUT APPRENTI";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;156;"2017-08-25"
153;10;"2006-2007";"6142";"BTS1-Q";"BTS1 CONTRAT DE QUALIF.";"1992-09-01 00:00:00";"";"Non";"Non";0;0;0;157;"2017-08-25"
